STT,T1,T1_clean,phanlopt1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TBM1,US_TBM2,US_TBM3,KQXT,MEDIAN,1,2,3,MEDIAN,1,2,3,MEDIAN,1,2,3
71,5.8,5.8,,6.3,6,6.5,6.7,7.6,6.7,5.9,7.6,7.5,5.6,8.1,6.3,6.3,7.1,7.1,6.6,6.7,4,7.3,6.1,5.2,7.8,6,5.3,7.8,6.6,7.1,6.8,6.8,6.8,6.3,6.5,7,6.9,5.7,7,6.6,6.6,5.7,8.2,7.4,6,7.6,7.3,7.3,7.8,6.8,F,0,2,2.25,4.5,7.25,A,6.4,6.95,7.39,TB,K,K,2.56,2.78,2.956,0,2,2.25,3.25,4.25,,,,,,,,
50,8.2,8.2,,7.2,8.4,5.9,5.9,6.4,6.4,6.2,8.5,6.8,5,6.2,6,7.2,8,7,6.7,6.4,6.6,5.5,5.3,6.3,5.7,6.1,6.8,6.7,5.9,5.7,6.4,7.4,7.8,6.4,7.5,7.2,6.6,5.4,6,6.4,5.5,5.9,7.6,7.9,8,7.5,5.8,6.6,7.7,6.9,F,0,2NT,3.25,4.5,4,A1,6.87,6.92,7.14,K,K,K,2.748,2.768,2.856,0,3.5,2.1875,3,3.25,,,,,,,,
15,7.1,7.1,,8,9.1,7.5,6.1,7.7,7.9,7.6,8.3,7.3,8.1,7.7,6.8,8.4,7.4,6.6,8.6,7.9,8.5,7,5.2,8.6,8,7.3,8.3,7.8,8.2,8,6.6,8.9,8.6,7.6,8.6,6.8,8.4,7.8,6.9,8.1,7.3,7.8,8.5,8.2,8.6,9.3,6.9,8,7.6,7,F,0,2NT,3.5,4.5,6.5,A,7.42,7.57,7.95,K,K,K,2.968,3.028,3.18,0,1.5,2.25,3.25,4.25,,,,,,,,
8,8.3,8.3,,6,7.6,5.1,7.5,4.7,5.8,7.2,6.7,6.3,6.4,7.1,7.3,6.9,6.1,7.9,8.6,5.7,6.9,6.6,7.4,6,5.8,6.5,8.3,5.3,6.2,6.4,7.6,5.4,6.7,6.3,8.5,7,6.1,6.4,6.6,4.8,7.4,6.9,8.3,6.7,5.6,5.9,7.3,7.1,6.8,7,F,0,2,3.75,4.5,4.25,D1,6.8,6.87,7.03,K,K,K,2.72,2.748,2.812,0,3.625,3,3.75,4.875,,,,,,,,
42,8.3,8.3,,8,9,8.3,7.9,8.3,8.1,6.7,8.2,8.4,8.3,8.6,8,8.7,8.7,7.7,7.8,7.6,8.1,8.5,7,9.7,8.8,8.3,7.7,7.9,8.9,8.8,7.9,8.4,8.6,7.4,8.8,8.3,8.8,8.4,7.5,6.6,8,7.1,8.5,8.6,8.5,9.1,7.8,8.1,7.9,7.4,F,0,2,4,4.5,5.75,A,8.08,8.28,8.22,G,G,G,3.232,3.312,3.288,0,1.75,2.25,3.25,4.25,,,,,,,,
33,6,6,,6.8,7.1,7.3,6.6,7.1,6.9,7,6,6.9,5.8,7.7,6.2,6.9,7,7.6,6.8,7.7,7.1,8.2,5.6,8.4,7.4,6.9,5.4,6.6,6.2,8.4,6.6,7.7,6.3,7.3,6.7,6.1,7.1,6.8,6.6,6.6,6.9,6.5,6.7,7.6,6.7,6.6,6.7,6.6,7.1,7.5,F,0,2,4.5,4.5,4.75,D1,6.74,6.63,6.89,K,K,K,2.696,2.652,2.756,0,3.75,3,3.75,4.875,,,,,,,,
27,4.9,4.9,,4.8,5,5.4,5.2,5.3,6.5,4.4,5.9,5.4,5.2,5.5,5.9,4.9,6.4,3.7,4.9,4.5,5.5,6.8,6.2,7.4,7.5,4.2,6,5.8,5.1,9,7.2,5.1,5.3,5.7,6.1,7.7,8,6.4,6.7,5.4,8.3,4.8,6.8,7.5,8.1,7,8.1,7.6,6.8,5.5,F,0,1,5.25,4.5,4.75,C,5.16,5.47,7.23,TB,TB,K,2.064,2.188,2.892,0,3.625,5.0625,5.25,6.375,,,,,,,,
84,5.9,5.9,,5.7,7.1,6.7,6.5,8,8.1,4.3,7.4,7.1,5.6,7.6,7.2,9.3,7.2,5.1,5.5,6.4,6.9,6.9,6.9,9.8,6.2,6.4,7,6.9,6.5,7.8,7.1,9.2,7.9,6.1,5.5,6.3,7.1,7.6,6.2,7.8,7.5,6.5,8.2,7.5,7.2,7.3,6.8,9.6,7.3,5.8,F,0,1,1.75,4.75,6,B,6.47,7.11,7.47,TB,K,K,2.588,2.844,2.988,0,2,3.25,3.5,3.75,,,,,,,,
72,3,3,,5.1,3,6.4,4.3,4.8,2,4.5,4.8,4.1,3.5,6.2,6.7,5.4,6.7,4.1,4.7,4.7,6.2,6.1,6.6,6.6,4.6,4.6,5,5.1,5.6,6.2,6.4,7.1,7.3,4.6,6.8,4.9,6.1,4.7,5.5,5.9,6.5,4.6,9,5.7,6,6.1,6.2,8.1,5.8,5.1,F,0,1,3.5,4.75,3.5,B,4.04,5.3,6.72,Y,TB,K,1.616,2.12,2.688,0,2.5,3.25,3.5,3.75,,,,,,,,
10,7.3,7.3,,5.9,4.7,7.1,6.7,7.9,6.7,7.7,8,6.8,7.6,6.9,6.8,7.8,6.4,7.4,6.5,7.3,6,7.8,7.2,7.9,7.1,7.7,5.5,7,6,6.7,8,7.2,6.3,7.2,7.5,7,8,5.9,7.1,6.3,5.1,7.1,6.9,7,6.7,7.1,7.7,6.4,6.1,7.8,F,0,1,4,4.75,5.5,D1,6.8,7.25,7.03,K,K,K,2.72,2.9,2.812,0,2.875,,,,,,,,,,,
56,7.9,7.9,,6.9,7,7,7,3.9,5.6,6.4,8.4,7.3,6.4,5.8,7.1,6.3,6.4,7.2,8.5,8.1,6.1,5.6,6.1,6.6,6.5,5.9,8.4,7,7,5.7,6.3,7,7.4,6.6,9.5,8.1,7.9,8.1,7,4.8,7.7,6.8,9.5,8.4,6.7,7.7,7.3,6.7,6.9,6.5,F,0,2NT,4.25,4.75,3.25,A1,6.66,7.04,7.65,K,K,K,2.664,2.816,3.06,0,4,,,,,,,,,,,
28,8.1,8.1,,5.5,5.1,5.6,6.2,6.2,6.6,4.8,4.4,4.7,5.2,6.6,6.5,5.8,6.1,4.8,5,6.2,4.4,6.3,4.4,5.2,6.6,5.7,2.9,5.2,4.2,5.9,5,5.8,7.4,5.3,5.8,5.2,6,6.2,6.2,6.8,5.9,5,5.6,6.2,6.4,6.4,7.3,6.4,6.3,5.1,F,0,2NT,5.25,5,3.5,C,6.24,5.5,6.26,TB,TB,TB,2.496,2.2,2.504,0,,,,,,,,,,,,
